Clinton,Trump,State,Place
40,6,Maine,Monhegan Plt.
13,39,Maine,Upton
18,32,Maine,Lakeville
22,28,Maine,Cyr Plt.
33,18,Maine,Matinicus Isle Plt.
12,34,Maine,Waite
14,31,Maine,Garfield Plt.
27,23,Maine,Caratunk
24,24,Maine,Westmanland
8,37,Maine,Hammond
15,31,Maine,West Forks Plt.
12,32,Maine,Brighton Plt.
11,33,Maine,Pleasant Ridge Plt.
11,33,Maine,Haynesville
14,27,Maine,Macwahoc Plt.
14,26,Maine,Osborn
15,22,Maine,Great Pond
9,21,Maine,The Forks Plt.
6,30,Maine,Deblois
10,25,Maine,Oxbow Plt.
11,24,Maine,Beddington
13,22,Maine,Talmadge
15,19,Maine,Seboeis Plt.
4,23,Maine,Hersey
5,26,Maine,Webster Plt.
7,23,Maine,Frenchboro
1,25,Maine,Moro Plt.
8,17,Maine,Lincoln Plt.
5,19,Maine,Dennistown Plt.
3,20,Maine,Drew Plt.
7,12,Maine,Nashville Plt.
9,9,Maine,Kingsbury Plt.
4,13,Maine,Washington Cty Townships
2,15,Maine,Magalloway Plt.
0,2,Maine,Glenwood Plt.
0,0,Maine,Hancock Cty Townships
0,0,Maine,Franklin Cty Townships
309761,82985,Maryland,Montgomery
313627,29290,Maryland,Prince George's
189437,131009,Maryland,Baltimore
116074,114509,Maryland,Anne Arundel
178562,22726,Maryland,Baltimore City
93808,44792,Maryland,Howard
43803,74261,Maryland,Harford
51891,56472,Maryland,Frederick
24314,55593,Maryland,Carroll
46063,24163,Maryland,Charles
19193,38842,Maryland,Washington
15786,26889,Maryland,St. Mary's
16669,24680,Maryland,Calvert
12651,27579,Maryland,Cecil
16327,20832,Maryland,Wicomico
6665,20025,Maryland,Allegany
8783,15910,Maryland,Worcester
7316,16211,Maryland,Queen Anne's
7865,10098,Maryland,Talbot
5695,7938,Maryland,Dorchester
3747,8999,Maryland,Caroline
2252,10189,Maryland,Garrett
4178,4598,Maryland,Kent
3484,5056,Maryland,Somerset
216754,37756,Massachusetts,Boston
42534,17634,Massachusetts,Worcester
38235,10890,Massachusetts,Springfield
44835,3262,Massachusetts,Cambridge
35395,7644,Massachusetts,Newton
25298,13297,Massachusetts,Quincy
32903,4064,Massachusetts,Somerville
23186,10495,Massachusetts,Lowell
25075,8707,Massachusetts,Brockton
20749,10319,Massachusetts,New Bedford
21841,9174,Massachusetts,Lynn
15323,14168,Massachusetts,Plymouth
17272,10792,Massachusetts,Fall River
20037,7561,Massachusetts,Medford
20277,7031,Massachusetts,Framingham
15278,11951,Massachusetts,Weymouth
15104,11809,Massachusetts,Haverhill
23913,3137,Massachusetts,Brookline
14385,12029,Massachusetts,Peabody
20159,4625,Massachusetts,Arlington
17103,7494,Massachusetts,Waltham
12862,11142,Massachusetts,Barnstable
19689,3517,Massachusetts,Lawrence
12332,9837,Massachusetts,Chicopee
12143,9868,Massachusetts,Taunton
11563,10162,Massachusetts,Methuen
15759,5536,Massachusetts,Malden
10016,10282,Massachusetts,Billerica
13046,6878,Massachusetts,Beverly
14743,5417,Massachusetts,Salem
10304,8437,Massachusetts,Attleboro
10746,8271,Massachusetts,Woburn
13767,4736,Massachusetts,Pittsfield
10317,8356,Massachusetts,Braintree
10529,7596,Massachusetts,Chelmsford
11870,6877,Massachusetts,Revere
9793,8180,Massachusetts,Leominster
11107,7055,Massachusetts,Falmouth
13203,4863,Massachusetts,Natick
11019,6478,Massachusetts,Andover
8172,8962,Massachusetts,Westfield
10501,6786,Massachusetts,Shrewsbury
13895,3278,Massachusetts,Lexington
12942,3891,Massachusetts,Watertown
12788,4017,Massachusetts,Needham
10532,5938,Massachusetts,Marlborough
9465,6990,Massachusetts,Franklin
7511,8372,Massachusetts,Tewksbury
11607,4014,Massachusetts,Holyoke
10548,4791,Massachusetts,Melrose
8511,6705,Massachusetts,Dartmouth
13200,1870,Massachusetts,Northampton
9714,5345,Massachusetts,Gloucester
6626,8319,Massachusetts,Dracut
10653,4281,Massachusetts,Milton
8350,6308,Massachusetts,North Andover
8902,5657,Massachusetts,Norwood
7288,7190,Massachusetts,Marshfield
8274,6059,Massachusetts,Wakefield
8491,5545,Massachusetts,Fitchburg
7681,6464,Massachusetts,Danvers
11362,3070,Massachusetts,Randolph
8673,5318,Massachusetts,Reading
6979,6644,Massachusetts,North Attleborough
6208,7421,Massachusetts,Agawam
12030,1233,Massachusetts,Amherst
10233,3102,Massachusetts,Belmont
6319,7252,Massachusetts,Saugus
10170,3176,Massachusetts,Wellesley
8550,4765,Massachusetts,Dedham
8396,4910,Massachusetts,Stoughton
7129,5981,Massachusetts,Walpole
8305,4771,Massachusetts,Hingham
9439,3932,Massachusetts,Everett
7238,5813,Massachusetts,Yarmouth
7551,5413,Massachusetts,Burlington
7760,4657,Massachusetts,Westford
7325,5231,Massachusetts,Milford
6904,5225,Massachusetts,Stoneham
6826,5054,Massachusetts,Mansfield
5670,6244,Massachusetts,Bridgewater
8108,3759,Massachusetts,Marblehead
7161,4670,Massachusetts,Canton
5958,5836,Massachusetts,Sandwich
9096,2536,Massachusetts,Acton
4772,6536,Massachusetts,Middleborough
7766,3634,Massachusetts,Winchester
5710,5537,Massachusetts,West Springfield
5845,5190,Massachusetts,Easton
6510,4457,Massachusetts,Scituate
7404,3125,Massachusetts,Newburyport
5343,5046,Massachusetts,Wareham
5553,4602,Massachusetts,Holden
8246,1948,Massachusetts,Concord
4782,5157,Massachusetts,Bourne
5997,3770,Massachusetts,Hudson
7257,2479,Massachusetts,Sudbury
4616,4905,Massachusetts,Pembroke
4483,5098,Massachusetts,Ludlow
7096,2419,Massachusetts,Sharon
5094,4157,Massachusetts,Foxborough
4872,4548,Massachusetts,Somerset
5333,3872,Massachusetts,Grafton
6210,2954,Massachusetts,Easthampton
5193,3851,Massachusetts,Winthrop
5012,3837,Massachusetts,Duxbury
4474,4361,Massachusetts,Norton
7395,1558,Massachusetts,Chelsea
5911,2721,Massachusetts,Westborough
5272,3433,Massachusetts,Longmeadow
4342,4285,Massachusetts,Rockland
4887,3751,Massachusetts,Dennis
4086,4440,Massachusetts,East Longmeadow
5273,3203,Massachusetts,Westwood
4340,4275,Massachusetts,Westport
5122,3197,Massachusetts,Amesbury
5175,3254,Massachusetts,South Hadley
4408,3936,Massachusetts,Auburn
5638,2751,Massachusetts,Ashland
5358,2911,Massachusetts,Hopkinton
4283,3986,Massachusetts,North Reading
4448,3839,Massachusetts,Mashpee
4027,4056,Massachusetts,Bellingham
5085,2959,Massachusetts,Northborough
3894,4329,Massachusetts,Swansea
4075,3989,Massachusetts,Abington
4259,3824,Massachusetts,Fairhaven
5503,2581,Massachusetts,Swampscott
4163,3528,Massachusetts,Gardner
3705,4248,Massachusetts,Hanover
4820,2964,Massachusetts,Ipswich
5228,2547,Massachusetts,Holliston
5546,2094,Massachusetts,Greenfield
4530,3290,Massachusetts,Harwich
3742,4009,Massachusetts,Wilbraham
6043,1679,Massachusetts,Wayland
4366,3140,Massachusetts,Belchertown
3376,3939,Massachusetts,Northbridge
5085,2211,Massachusetts,Bedford
3157,4064,Massachusetts,East Bridgewater
3379,3800,Massachusetts,Whitman
3659,3563,Massachusetts,Seekonk
3291,3852,Massachusetts,Wilmington
3316,3800,Massachusetts,Raynham
3254,3694,Massachusetts,Uxbridge
3471,3579,Massachusetts,Kingston
4000,2945,Massachusetts,Medway
4409,2400,Massachusetts,Medfield
3122,3739,Massachusetts,Lynnfield
3110,3570,Massachusetts,Webster
2708,3855,Massachusetts,Charlton
3138,3432,Massachusetts,Millbury
3707,2715,Massachusetts,Clinton
2736,3572,Massachusetts,Oxford
3712,2582,Massachusetts,Southbridge
2768,3562,Massachusetts,Rehoboth
3058,3163,Massachusetts,Tyngsborough
3813,2370,Massachusetts,Brewster
2929,3096,Massachusetts,Pepperell
3863,2133,Massachusetts,Groton
3025,2990,Massachusetts,Wrentham
3264,2819,Massachusetts,Norwell
4144,1892,Massachusetts,Nantucket
3669,2351,Massachusetts,Hull
4301,1642,Massachusetts,Weston
2464,3373,Massachusetts,Lakeville
2916,2792,Massachusetts,Lunenburg
2507,3192,Massachusetts,Carver
2475,3083,Massachusetts,Palmer
2430,3124,Massachusetts,Hanson
3849,1670,Massachusetts,Maynard
2929,2455,Massachusetts,Norfolk
3500,1895,Massachusetts,Southborough
3445,1876,Massachusetts,Littleton
3719,1567,Massachusetts,North Adams
2265,3044,Massachusetts,Spencer
2422,2825,Massachusetts,Leicester
2912,2385,Massachusetts,Holbrook
2287,2881,Massachusetts,Sutton
2358,2808,Massachusetts,Acushnet
2109,2865,Massachusetts,Dudley
2509,2400,Massachusetts,Sturbridge
1859,2956,Massachusetts,Southwick
2082,2550,Massachusetts,Townsend
2141,2662,Massachusetts,Middleton
2454,2194,Massachusetts,Boxford
2314,2260,Massachusetts,Georgetown
2018,2641,Massachusetts,Freetown
2620,1890,Massachusetts,Millis
2074,2329,Massachusetts,Athol
2136,2302,Massachusetts,Sterling
1780,2685,Massachusetts,Douglas
3121,1371,Massachusetts,Rockport
2881,1621,Massachusetts,Cohasset
2020,2343,Massachusetts,Rutland
2169,2188,Massachusetts,Plainville
2094,2241,Massachusetts,Salisbury
1907,2252,Massachusetts,Monson
1850,2327,Massachusetts,Blackstone
2626,1475,Massachusetts,Hamilton
1787,2310,Massachusetts,Winchendon
2395,1796,Massachusetts,Chatham
2284,1808,Massachusetts,Upton
2464,1716,Massachusetts,Newbury
1947,2162,Massachusetts,Westminster
2686,1511,Massachusetts,Orleans
1852,2189,Massachusetts,Ware
1776,2293,Massachusetts,Halifax
2858,1094,Massachusetts,Montague
2704,1261,Massachusetts,Stow
2137,1837,Massachusetts,West Boylston
2102,1818,Massachusetts,Mattapoisett
1623,2148,Massachusetts,West Bridgewater
2162,1498,Massachusetts,Ayer
1822,1934,Massachusetts,Groveland
1602,2149,Massachusetts,Dighton
2412,1285,Massachusetts,Adams
1507,2051,Massachusetts,Templeton
2070,1566,Massachusetts,Topsfield
1840,1650,Massachusetts,Lancaster
1884,1618,Massachusetts,Merrimac
1679,1809,Massachusetts,Rowley
2906,613,Massachusetts,Lincoln
1744,1692,Massachusetts,Southampton
2877,580,Massachusetts,Great Barrington
2202,1198,Massachusetts,Eastham
2475,884,Massachusetts,Harvard
1620,1684,Massachusetts,Granby
1430,1906,Massachusetts,Berkley
2910,479,Massachusetts,Williamstown
2059,1137,Massachusetts,Dover
1528,1694,Massachusetts,Mendon
2244,953,Massachusetts,Manchester
1759,1375,Massachusetts,Hopedale
2185,939,Massachusetts,Dalton
1482,1540,Massachusetts,Orange
1366,1739,Massachusetts,Rochester
1615,1425,Massachusetts,Shirley
1439,1522,Massachusetts,Ashburnham
2302,732,Massachusetts,Carlisle
1857,1156,Massachusetts,Marion
1891,1036,Massachusetts,Bolton
2121,864,Massachusetts,Hadley
1188,1643,Massachusetts,Hampden
2252,575,Massachusetts,Lenox
1960,848,Massachusetts,Lee
2080,737,Massachusetts,Oak Bluffs
1942,767,Massachusetts,Deerfield
1987,755,Massachusetts,Boxborough
1620,1020,Massachusetts,West Newbury
1201,1429,Massachusetts,Barre
1422,1124,Massachusetts,Boylston
1786,779,Massachusetts,Edgartown
1039,1373,Massachusetts,Hubbardston
1204,1194,Massachusetts,Paxton
1718,615,Massachusetts,Sherborn
1900,474,Massachusetts,Tisbury
906,1413,Massachusetts,North Brookfield
1253,1067,Massachusetts,Avon
2082,208,Massachusetts,Provincetown
1368,773,Massachusetts,Wenham
904,1266,Massachusetts,Warren
1325,858,Massachusetts,Nahant
1183,898,Massachusetts,Princeton
1268,757,Massachusetts,Essex
1547,515,Massachusetts,Wellfleet
1688,329,Massachusetts,West Tisbury
1278,659,Massachusetts,Hatfield
793,1113,Massachusetts,Brimfield
865,1008,Massachusetts,West Brookfield
954,837,Massachusetts,Dunstable
1009,745,Massachusetts,Berlin
1241,530,Massachusetts,Sheffield
1351,387,Massachusetts,Sunderland
720,974,Massachusetts,Ashby
978,741,Massachusetts,Cheshire
706,933,Massachusetts,Brookfield
727,883,Massachusetts,Plympton
998,597,Massachusetts,Lanesborough
1013,533,Massachusetts,Northfield
1206,346,Massachusetts,Williamsburg
624,874,Massachusetts,Millville
1095,361,Massachusetts,Truro
565,708,Massachusetts,Hardwick
472,717,Massachusetts,Holland
963,252,Massachusetts,Stockbridge
996,185,Massachusetts,Leverett
976,142,Massachusetts,Shutesbury
710,382,Massachusetts,Bernardston
865,249,Massachusetts,Conway
460,611,Massachusetts,Huntington
435,633,Massachusetts,Oakham
414,661,Massachusetts,East Brookfield
813,230,Massachusetts,Shelburne
836,184,Massachusetts,Ashfield
629,408,Massachusetts,Westhampton
606,403,Massachusetts,Hinsdale
700,230,Massachusetts,Buckland
374,550,Massachusetts,Phillipston
568,367,Massachusetts,Becket
582,328,Massachusetts,Whately
365,550,Massachusetts,Wales
696,218,Massachusetts,Richmond
335,548,Massachusetts,Granville
579,259,Massachusetts,Gill
431,407,Massachusetts,Otis
513,257,Massachusetts,Colrain
738,98,Massachusetts,Pelham
659,178,Massachusetts,West Stockbridge
510,327,Massachusetts,Clarksburg
564,218,Massachusetts,New Marlborough
621,147,Massachusetts,Egremont
278,480,Massachusetts,Russell
416,312,Massachusetts,Petersham
389,289,Massachusetts,Erving
617,94,Massachusetts,Chilmark
430,229,Massachusetts,Worthington
397,267,Massachusetts,Chesterfield
406,227,Massachusetts,Charlemont
256,404,Massachusetts,Blandford
313,321,Massachusetts,Royalston
238,372,Massachusetts,Chester
364,213,Massachusetts,Goshen
246,326,Massachusetts,New Braintree
337,208,Massachusetts,New Salem
402,104,Massachusetts,Wendell
334,156,Massachusetts,Cummington
417,88,Massachusetts,Monterey
199,281,Massachusetts,Montgomery
313,159,Massachusetts,Windsor
255,207,Massachusetts,Peru
306,139,Massachusetts,Leyden
254,190,Massachusetts,Sandisfield
271,142,Massachusetts,Warwick
244,165,Massachusetts,Heath
263,107,Massachusetts,Plainfield
190,170,Massachusetts,Florida
184,163,Massachusetts,Savoy
189,159,Massachusetts,Hancock
217,89,Massachusetts,Washington
101,190,Massachusetts,Tolland
155,115,Massachusetts,Middlefield
226,52,Massachusetts,Alford
201,70,Massachusetts,Tyringham
231,34,Massachusetts,Aquinnah
122,99,Massachusetts,Rowe
105,67,Massachusetts,Hawley
101,39,Massachusetts,New Ashford
76,19,Massachusetts,Mount Washington
36,27,Massachusetts,Gosnold
25,26,Massachusetts,Monroe
517022,228313,Michigan,Wayne
342976,289127,Michigan,Oakland
176238,224589,Michigan,Macomb
138567,147959,Michigan,Kent
102744,84174,Michigan,Genesee
128025,50335,Michigan,Washtenaw
46276,90456,Michigan,Ottawa
81266,44354,Michigan,Ingham
67142,51031,Michigan,Kalamazoo
34378,65665,Michigan,Livingston
44395,45469,Michigan,Saginaw
24553,49067,Michigan,St. Clair
36640,35962,Michigan,Muskegon
26859,43255,Michigan,Monroe
29496,38646,Michigan,Berrien
25795,39793,Michigan,Jackson
24154,31489,Michigan,Calhoun
24534,27608,Michigan,Eaton
17932,33812,Michigan,Allegan
21641,28327,Michigan,Bay
20964,27412,Michigan,Grand Traverse
16750,26428,Michigan,Lenawee
12734,30037,Michigan,Lapeer
15655,23877,Michigan,Midland
16490,21635,Michigan,Clinton
12547,19232,Michigan,Shiawassee
13258,17890,Michigan,Van Buren
16042,14646,Michigan,Marquette
9109,19197,Michigan,Barry
7874,16907,Michigan,Montcalm
8206,16374,Michigan,Ionia
7493,17421,Michigan,Tuscola
11404,12338,Michigan,Isabella
7529,14886,Michigan,St. Joseph
7270,14241,Michigan,Cass
6212,15174,Michigan,Newaygo
4799,14094,Michigan,Hillsdale
4873,13446,Michigan,Sanilac
6972,10616,Michigan,Emmet
6431,11112,Michigan,Delta
5827,10305,Michigan,Mecosta
4740,11025,Michigan,Branch
5665,9878,Michigan,Gratiot
4579,10629,Michigan,Huron
6018,8475,Michigan,Houghton
5378,9120,Michigan,Chippewa
4436,10000,Michigan,Wexford
6774,7239,Michigan,Leelanau
4877,9090,Michigan,Alpena
5281,8505,Michigan,Mason
5137,8674,Michigan,Charlevoix
4302,8680,Michigan,Cheboygan
4448,8469,Michigan,Antrim
4250,8507,Michigan,Clare
4344,8344,Michigan,Iosco
3923,8580,Michigan,Dickinson
4287,8141,Michigan,Roscommon
4979,6915,Michigan,Manistee
3556,8266,Michigan,Otsego
3794,8124,Michigan,Gladwin
3973,7228,Michigan,Oceana
3539,6704,Michigan,Menominee
2705,7336,Michigan,Osceola
3030,6827,Michigan,Ogemaw
4108,5539,Michigan,Benzie
2279,6213,Michigan,Kalkaska
2238,4704,Michigan,Arenac
2925,4019,Michigan,Gogebic
1565,5386,Michigan,Missaukee
2400,4486,Michigan,Presque Isle
2110,4354,Michigan,Crawford
1732,4201,Michigan,Alcona
2085,3740,Michigan,Mackinac
2004,3675,Michigan,Iron
1939,3159,Michigan,Lake
1286,3498,Michigan,Montmorency
1663,2585,Michigan,Alger
1369,2556,Michigan,Schoolcraft
1044,2843,Michigan,Oscoda
1156,2158,Michigan,Baraga
1175,2069,Michigan,Ontonagon
681,1756,Michigan,Luce
527,814,Michigan,Keweenaw
429283,191768,Minnesota,Hennepin
176929,70778,Minnesota,Ramsey
110251,99624,Minnesota,Dakota
75499,93341,Minnesota,Anoka
67086,64429,Minnesota,Washington
57769,44631,Minnesota,St. Louis
36266,35668,Minnesota,Olmsted
25575,47618,Minnesota,Stearns
28502,39948,Minnesota,Scott
20336,43274,Minnesota,Wright
21514,29063,Minnesota,Carver
13299,31049,Minnesota,Sherburne
10982,22287,Minnesota,Crow Wing
14428,15667,Minnesota,Blue Earth
9339,20939,Minnesota,Otter Tail
14437,15429,Minnesota,Rice
9279,18441,Minnesota,Chisago
12945,13522,Minnesota,Clay
11366,12122,Minnesota,Winona
9446,14041,Minnesota,Goodhue
9015,12920,Minnesota,Itasca
7266,12785,Minnesota,Kandiyohi
6227,13966,Minnesota,Douglas
8688,10783,Minnesota,Beltrami
5656,13635,Minnesota,Isanti
5640,12872,Minnesota,Benton
6239,11198,Minnesota,Steele
4978,12155,Minnesota,McLeod
8460,8160,Minnesota,Carlton
7886,8436,Minnesota,Nicollet
7444,8826,Minnesota,Mower
3637,12925,Minnesota,Morrison
5208,10880,Minnesota,Becker
6041,8808,Minnesota,Freeborn
4949,9982,Minnesota,Cass
4623,9182,Minnesota,Le Sueur
4712,8979,Minnesota,Polk
4580,8191,Minnesota,Pine
3763,8708,Minnesota,Brown
3709,8340,Minnesota,Mille Lacs
3192,8103,Minnesota,Meeker
3825,7257,Minnesota,Lyon
2783,8485,Minnesota,Todd
3866,6989,Minnesota,Wabasha
3432,7269,Minnesota,Hubbard
3872,6271,Minnesota,Fillmore
3102,6527,Minnesota,Dodge
4145,5616,Minnesota,Houston
2733,7062,Minnesota,Martin
2838,5967,Minnesota,Waseca
3134,5516,Minnesota,Aitkin
2733,5299,Minnesota,Nobles
2327,5230,Minnesota,Kanabec
1856,5451,Minnesota,Roseau
1954,5193,Minnesota,Sibley
1887,5137,Minnesota,Redwood
2117,4890,Minnesota,Renville
2153,4659,Minnesota,Faribault
1684,4837,Minnesota,Wadena
2146,4000,Minnesota,Pennington
3077,2932,Minnesota,Lake
2306,3569,Minnesota,Koochiching
2106,3793,Minnesota,Pope
1978,3764,Minnesota,Chippewa
1678,3679,Minnesota,Cottonwood
1492,3609,Minnesota,Jackson
2116,2800,Minnesota,Stevens
1524,3382,Minnesota,Yellow Medicine
1814,2768,Minnesota,Watonwan
1679,2962,Minnesota,Swift
1373,3091,Minnesota,Rock
1225,3208,Minnesota,Marshall
1127,3338,Minnesota,Pipestone
1295,2974,Minnesota,Murray
1100,2925,Minnesota,Clearwater
1301,2294,Minnesota,Lac Qui Parle
1104,2063,Minnesota,Grant
1912,1156,Minnesota,Cook
893,2129,Minnesota,Wilkin
1264,1699,Minnesota,Norman
860,1930,Minnesota,Lincoln
921,1607,Minnesota,Big Stone
823,1349,Minnesota,Kittson
553,1540,Minnesota,Lake of the Woods
930,991,Minnesota,Mahnomen
540,1141,Minnesota,Red Lake
631,1050,Minnesota,Traverse
64922,24919,Mississippi,Hinds
19892,42155,Mississippi,DeSoto
20679,39710,Mississippi,Harrison
13741,46168,Mississippi,Rankin
13087,31204,Mississippi,Jackson
18358,25607,Mississippi,Madison
9635,21695,Mississippi,Lee
10910,17574,Mississippi,Lauderdale
7748,20076,Mississippi,Jones
11271,15149,Mississippi,Forrest
11545,13124,Mississippi,Lowndes
5044,18493,Mississippi,Lamar
7968,10872,Mississippi,Lafayette
2919,15530,Mississippi,Pearl River
8518,9420,Mississippi,Warren
3320,13720,Mississippi,Hancock
7851,7671,Mississippi,Oktibbeha
5485,10107,Mississippi,Monroe
7636,7748,Mississippi,Pike
4458,10550,Mississippi,Lincoln
7300,7371,Mississippi,Panola
2684,11817,Mississippi,Alcorn
7944,6525,Mississippi,Marshall
9847,4541,Mississippi,Washington
8410,4251,Mississippi,Bolivar
6921,5125,Mississippi,Adams
6203,5576,Mississippi,Copiah
2123,9442,Mississippi,Pontotoc
3572,7697,Mississippi,Marion
3871,7393,Mississippi,Simpson
3804,7385,Mississippi,Tate
1969,9161,Mississippi,Union
4386,5940,Mississippi,Grenada
2668,7613,Mississippi,Neshoba
5695,4136,Mississippi,Clay
5221,4568,Mississippi,Yazoo
2067,7647,Mississippi,Prentiss
3999,5742,Mississippi,Scott
1013,8652,Mississippi,George
1100,8385,Mississippi,Itawamba
6677,2757,Mississippi,Leflore
3493,5957,Mississippi,Wayne
6560,2768,Mississippi,Sunflower
1808,7182,Mississippi,Tippah
6378,2426,Mississippi,Coahoma
3267,5423,Mississippi,Covington
3778,4874,Mississippi,Winston
2549,5929,Mississippi,Newton
4367,4032,Mississippi,Jasper
3579,4775,Mississippi,Leake
990,7117,Mississippi,Tishomingo
3649,4127,Mississippi,Chickasaw
2556,5088,Mississippi,Clarke
1598,5877,Mississippi,Smith
2847,4288,Mississippi,Attala
5820,1151,Mississippi,Holmes
2688,4282,Mississippi,Amite
1400,4810,Mississippi,Stone
1884,4360,Mississippi,Calhoun
2181,4072,Mississippi,Lawrence
3720,2466,Mississippi,Jeff Davis
2574,3366,Mississippi,Yalobusha
2475,3374,Mississippi,Walthall
3337,2462,Mississippi,Tallahatchie
4330,1181,Mississippi,Noxubee
1648,3774,Mississippi,Carroll
1220,4135,Mississippi,Perry
956,4309,Mississippi,Greene
1001,3949,Mississippi,Webster
2827,1778,Mississippi,Kemper
1471,2685,Mississippi,Franklin
2826,1305,Mississippi,Wilkinson
1775,2334,Mississippi,Montgomery
1198,2763,Mississippi,Choctaw
1713,2240,Mississippi,Benton
3337,489,Mississippi,Jefferson
2652,924,Mississippi,Humphreys
2577,840,Mississippi,Tunica
2303,998,Mississippi,Quitman
2523,414,Mississippi,Claiborne
1290,619,Mississippi,Sharkey
395,298,Mississippi,Issaquena
280866,199081,Missouri,St. Louis County
163723,114777,Missouri,Jackson
68225,120899,Missouri,St. Charles
42400,77387,Missouri,Greene
101487,20281,Missouri,St. Louis City
45182,57328,Missouri,Clay
31546,68973,Missouri,Jefferson
41072,36146,Missouri,Boone
14816,33006,Missouri,Cass
12339,35420,Missouri,Franklin
10565,35058,Missouri,Jasper
18915,24975,Missouri,Platte
8505,30941,Missouri,Christian
10907,24610,Missouri,Cole
8468,26939,Missouri,Cape Girardeau
12010,21315,Missouri,Buchanan
4988,20546,Missouri,Newton
5561,18111,Missouri,Lincoln
6250,17467,Missouri,St. Francois
4367,18240,Missouri,Taney
4706,16721,Missouri,Camden
5924,13702,Missouri,Johnson
4988,13052,Missouri,Callaway
4761,12699,Missouri,Phelps
4322,12792,Missouri,Pettis
2880,13888,Missouri,Howell
3574,13168,Missouri,Scott
3036,13647,Missouri,Butler
2918,9870,Missouri,Pulaski
3173,12829,Missouri,Webster
2898,13084,Missouri,Lawrence
2886,13149,Missouri,Stone
2543,12834,Missouri,LaClede
4047,10977,Missouri,Lafayette
3915,11109,Missouri,Warren
2710,11427,Missouri,Barry
2630,10435,Missouri,Polk
1873,11077,Missouri,Stoddard
2993,9418,Missouri,Marion
1750,9285,Missouri,Miller
1728,8875,Missouri,Texas
3088,7103,Missouri,Ray
2360,8026,Missouri,Dunklin
2283,7529,Missouri,Randolph
2572,7058,Missouri,Clinton
3495,6019,Missouri,Adair
2567,6981,Missouri,Audrain
1824,7724,Missouri,Crawford
2356,7072,Missouri,Henry
2024,7212,Missouri,Benton
2529,6379,Missouri,Nodaway
1926,7047,Missouri,Washington
2787,5977,Missouri,Saline
2045,6665,Missouri,Andrew
1768,6757,Missouri,Morgan
1520,6907,Missouri,Perry
1706,6526,Missouri,Vernon
2540,5495,Missouri,Ste. Genevieve
1329,6599,Missouri,McDonald
1166,6703,Missouri,Wright
1617,6000,Missouri,Bates
1932,5623,Missouri,Cooper
1518,5794,Missouri,Macon
1519,5670,Missouri,Gasconade
1271,5895,Missouri,Dallas
1806,5274,Missouri,Pike
1933,5270,Missouri,New Madrid
998,5845,Missouri,Osage
1237,5344,Missouri,Moniteau
978,5599,Missouri,Dent
984,5486,Missouri,Douglas
1265,4879,Missouri,Livingston
1010,5019,Missouri,Cedar
1946,3964,Missouri,Pemiscot
795,4958,Missouri,Barton
946,4640,Missouri,Wayne
705,4827,Missouri,Bollinger
1239,4084,Missouri,Linn
830,4520,Missouri,Ripley
1118,4124,Missouri,Montgomery
1005,4102,Missouri,Madison
1138,3969,Missouri,Ralls
1458,3600,Missouri,Mississippi
1279,3277,Missouri,Howard
1016,3539,Missouri,Hickory
865,3668,Missouri,Oregon
936,3501,Missouri,St. Clair
824,3540,Missouri,DeKalb
724,3639,Missouri,Ozark
794,3559,Missouri,Maries
933,3343,Missouri,Lewis
780,3462,Missouri,Grundy
745,3480,Missouri,Carroll
837,3231,Missouri,Caldwell
933,3173,Missouri,Iron
853,3159,Missouri,Monroe
888,2948,Missouri,Chariton
637,3184,Missouri,Dade
776,2966,Missouri,Shannon
730,2763,Missouri,Daviess
574,2965,Missouri,Harrison
724,2458,Missouri,Clark
606,2524,Missouri,Shelby
605,2304,Missouri,Gentry
540,2402,Missouri,Reynolds
436,2323,Missouri,Carter
541,2059,Missouri,Atchison
526,1884,Missouri,Sullivan
346,1926,Missouri,Holt
352,1936,Missouri,Putnam
365,1525,Missouri,Scotland
354,1505,Missouri,Schuyler
379,1413,Missouri,Knox
216,1486,Missouri,Mercer
195,808,Missouri,Worth
21117,38675,Montana,Yellowstone
30740,21699,Montana,Missoula
23879,23360,Montana,Gallatin
13233,30079,Montana,Flathead
12053,19343,Montana,Cascade
14331,16665,Montana,Lewis and Clark
6166,14673,Montana,Ravalli
8545,6252,Montana,Silver Bow
4703,7453,Montana,Lake
2040,6720,Montana,Lincoln
3521,4872,Montana,Park
1975,4099,Montana,Jefferson
2350,3446,Montana,Hill
1824,3729,Montana,Carbon
1211,4268,Montana,Sanders
1196,4235,Montana,Fergus
1172,3638,Montana,Custer
3076,1598,Montana,Glacier
904,3630,Montana,Stillwater
669,3885,Montana,Richland
1175,3280,Montana,Madison
1115,3243,Montana,Beaverhead
786,3298,Montana,Dawson
2061,1833,Montana,Big Horn
2018,1736,Montana,Deer Lodge
886,2697,Montana,Valley
1504,1722,Montana,Roosevelt
969,2211,Montana,Rosebud
803,2152,Montana,Teton
566,2329,Montana,Broadwater
549,2017,Montana,Powell
737,1786,Montana,Pondera
1187,1259,Montana,Blaine
729,1676,Montana,Chouteau
331,1961,Montana,Musselshell
315,1715,Montana,Phillips
398,1580,Montana,Sweet Grass
399,1495,Montana,Toole
515,1322,Montana,Mineral
476,1237,Montana,Sheridan
469,1185,Montana,Granite
154,1276,Montana,Fallon
232,867,Montana,Judith Basin
154,858,Montana,McCone
127,880,Montana,Powder River
